Constituency No.	Constituency Name	Candidate Name	Party	Votes Polled	Position	Win/Lose Margin
1	Telangana - Sirpur	KONERU KONAPPA	Telangana Rashtra Samithi	83088	1	24036
1	Telangana - Sirpur	DR. PALVAI HARISH BABU	Indian National Congress	59052	2	24036
1	Telangana - Sirpur	DR.KOTTAPELLI SRINIVAS	Bharatiya Janata Party	6279	3	
1	Telangana - Sirpur	RRAAVI SRINWASS	Bahujan Samaj Party	5379	4	
1	Telangana - Sirpur	TALLAPALLI THIRUPATHI	Independent	4039	5	
1	Telangana - Sirpur	None of the Above	None of the Above	1579	6	
1	Telangana - Sirpur	DASARI VENKATESH	Independent	1079	7	
1	Telangana - Sirpur	CHILAKAMMA EDLA	Pyramid Party of India	1013	8	
1	Telangana - Sirpur	KUDAKA KISHORE	Ambedkarite Party of India	733	9	
1	Telangana - Sirpur	GANTA PENTANNA	Independent	595	10	
1	Telangana - Sirpur	JADI DILEEP	Bahujan Mukti Party	512	11	
1	Telangana - Sirpur	KOTA VENKANNA	Bahujana Left Party	511	12	
1	Telangana - Sirpur	RAMCHANDER	Peoples Republican Party	429	13	
2	Telangana - Chennur	BALKA SUMAN	Telangana Rashtra Samithi	71980	1	28132
2	Telangana - Chennur	VENKATESH NETHA BORLAKUNTA	Indian National Congress	43848	2	28132
2	Telangana - Chennur	SOGALA SANJEEV	Republican Party of India (Khobragade)	6274	3	
2	Telangana - Chennur	None of the Above	None of the Above	2135	4	
2	Telangana - Chennur	ANDUGULA SRINIVAS	Bharatiya Janata Party	2026	5	
2	Telangana - Chennur	DAMUKA SURESH BABU	Independent	1492	6	
2	Telangana - Chennur	BOJJA RAMANA KUMARI	Pyramid Party of India	1335	7	
2	Telangana - Chennur	SUJATHA SUREPALLY	Bahujan Samaj Party	1200	8	
2	Telangana - Chennur	RAKESH REGUNTA	Nava Praja Rajyam Party	1035	9	
2	Telangana - Chennur	BODA JANARDHAN	Bahujana Left Party	983	10	
2	Telangana - Chennur	CHEEPELLI KIRAN	Independent	937	11	
2	Telangana - Chennur	THUNGAPINDI RAMESH	Republican Party of India (A)	830	12	
2	Telangana - Chennur	BOJJA DASARATHAM	Independent	589	13	
2	Telangana - Chennur	NEELAM SURENDER	Nationalist Congress Party	516	14	
2	Telangana - Chennur	RAMAGIRI VIKRAM SINGH	New India Party	484	15	
3	Telangana - Bellampalli	DURGAM CHINNAIAH	Telangana Rashtra Samithi	55026	1	11276
3	Telangana - Bellampalli	GADDAM VINOD	Bahujan Samaj Party	43750	2	11276
3	Telangana - Bellampalli	KONDAGURLA VEDA PRAKASH	Independent	10684	3	
3	Telangana - Bellampalli	GUNDA MALLESH	Communist Party of India	3905	4	
3	Telangana - Bellampalli	KOYYALA EMAJI	Bharatiya Janata Party	3031	5	
3	Telangana - Bellampalli	None of the Above	None of the Above	2598	6	
3	Telangana - Bellampalli	KRISHNA SABBANI	Bahujana Left Party	1812	7	
3	Telangana - Bellampalli	DAGAM VISHWANATH	Independent	1801	8	
3	Telangana - Bellampalli	DURGE MAHENDAR	Nava Praja Rajyam Party	1202	9	
3	Telangana - Bellampalli	SAKINALA NARAYANA	Independent	1120	10	
3	Telangana - Bellampalli	PAGIDI VENKATI	Independent	721	11	
3	Telangana - Bellampalli	AMBALA MAHENDAR	Independent	706	12	
3	Telangana - Bellampalli	MITTAPALLI KUMARA SWAMY	New India Party	695	13	
3	Telangana - Bellampalli	PAGIDI RAJENDER	Aam Aadmi Party	450	14	
4	Telangana - Mancherial	NADIPELLI DIWAKAR RAO	Telangana Rashtra Samithi	75360	1	4848
4	Telangana - Mancherial	KOKKIRALA PREMSAGAR RAO	Indian National Congress	70512	2	4848
4	Telangana - Mancherial	RAGHUNATH VERABELLI	Bharatiya Janata Party	5018	3	
4	Telangana - Mancherial	ARE SRINIVAS	Bahujana Left Party	2190	4	
4	Telangana - Mancherial	BERA SATHYANARAYANA	Bahujan Samaj Party	2174	5	
4	Telangana - Mancherial	NAHEEMPASHA	Independent	2123	6	
4	Telangana - Mancherial	CHALLAGULLA VIJAYASREE	Independent	1672	7	
4	Telangana - Mancherial	DOMMATI RAVI KUMAR	Independent	1638	8	
4	Telangana - Mancherial	None of the Above	None of the Above	1394	9	
4	Telangana - Mancherial	CHEERLA SATYAM	Independent	1065	10	
4	Telangana - Mancherial	PAYYAVULA LAXMINARAYANA	Independent	717	11	
4	Telangana - Mancherial	AGGI BHEEMAIAH	Pyramid Party of India	560	12	
4	Telangana - Mancherial	RANGU MALLESHAM	Independent	468	13	
4	Telangana - Mancherial	AJMEERA LAL	Independent	343	14	
4	Telangana - Mancherial	RASAMALLA KUMAR	Independent	250	15	
4	Telangana - Mancherial	ALPULA BHARATHI	India Praja Bandhu Party	241	16	
4	Telangana - Mancherial	KUAKATLA THIRUPATHI YADAV	Shiv Sena	229	17	
4	Telangana - Mancherial	SYED AFRATH AHMED	Aam Aadmi Party	201	18	
4	Telangana - Mancherial	KAMERA KRANTHI KUMAR	Republican Party of India (Khobragade)	158	19	
4	Telangana - Mancherial	TOGARI BANESH	New India Party	149	20	
4	Telangana - Mancherial	MEDI NARSAIAH	Telangana Pragati Samithi	141	21	
4	Telangana - Mancherial	MENGANI VENKATASWAMY	Independent	121	22	
5	Telangana - Asifabad	ATHRAM SAKKU	Indian National Congress	65788	1	171
5	Telangana - Asifabad	KOVA LAXMI	Telangana Rashtra Samithi	65617	2	171
5	Telangana - Asifabad	AZMERA ATHMA RAO	Bharatiya Janata Party	6711	3	
5	Telangana - Asifabad	KOTNAKA VIJAY KUMAR	Telangana Jana Samithi	6183	4	
5	Telangana - Asifabad	AJMERA RAMNAIK	Bahujan Samaj Party	3629	5	
5	Telangana - Asifabad	ADE BALAJI	BhartiyaBahujanKranti Dal	3039	6	
5	Telangana - Asifabad	MUKADE VISHNU	Ambedkarite Party of India	2972	7	
5	Telangana - Asifabad	None of the Above	None of the Above	2715	8	
5	Telangana - Asifabad	KURSENGA VASANTH RAO	Nava Praja Rajyam Party	1721	9	
5	Telangana - Asifabad	BANOVATH JAGAN	Bahujana Raajyam Party (Phule Ambedkar)	1240	10	
5	Telangana - Asifabad	BHUKYA INDAL RAO	Independent	1175	11	
6	Telangana - Khanapur	AJMERA REKHA	Telangana Rashtra Samithi	67138	1	20710
6	Telangana - Khanapur	RAMESH RATHOD	Indian National Congress	46428	2	20710
6	Telangana - Khanapur	ASHOK SATLA	Bharatiya Janata Party	23779	3	
6	Telangana - Khanapur	AJMEERA HARI NAIK	Bahujan Samaj Party	3553	4	
6	Telangana - Khanapur	None of the Above	None of the Above	2776	5	
6	Telangana - Khanapur	THATRA BHEEMRAO	Telangana Jana Samithi	2412	6	
6	Telangana - Khanapur	NETHAWATH RAJENDAR	Independent	1436	7	
6	Telangana - Khanapur	ATHRAM BHEEM RAO	Peoples Republican Party	1251	8	
6	Telangana - Khanapur	THODASAM BHEEM RAO	Communist Party of India (Marxist)	863	9	
6	Telangana - Khanapur	PENDUR PRABHAKAR	Independent	841	10	
6	Telangana - Khanapur	KURSENGA ANITHA	Nava Praja Rajyam Party	685	11	
6	Telangana - Khanapur	TODASAM NAGORAO	Prem Janata Dal	548	12	
6	Telangana - Khanapur	LAVUDYA SUDHAN LAL	Telangana Prajala Party	446	13	
7	Telangana - Adilabad	JOGU RAMANNA	Telangana Rashtra Samithi	74050	1	26606
7	Telangana - Adilabad	PAYAL SHANKER	Bharatiya Janata Party	47444	2	26606
7	Telangana - Adilabad	GANDRATH SUJATHA	Indian National Congress	32200	3	
7	Telangana - Adilabad	KOTHAPELLY NARAYANA	Rajyadhikara Party	4125	4	
7	Telangana - Adilabad	EERLA SATYANARAYANA	Bahujan Samaj Party	1352	5	
7	Telangana - Adilabad	None of the Above	None of the Above	1149	6	
7	Telangana - Adilabad	KASTALA ARUN KUMAR	Independent	954	7	
7	Telangana - Adilabad	ANNAM DEVENDAR	Independent	838	8	
7	Telangana - Adilabad	DATTATRI ELCHALA	Nationalist Congress Party	659	9	
7	Telangana - Adilabad	AVULA YATHEENDRA NATH YADAV	Shiv Sena	616	10	
7	Telangana - Adilabad	DANDE SANDEEP	Ambedkarite Party of India	573	11	
7	Telangana - Adilabad	THOGARI RAMULU	Independent	553	12	
7	Telangana - Adilabad	Y. SANJAY REDDY	Aam Aadmi Party	490	13	
7	Telangana - Adilabad	KAMLE BHAGAVAN	Nava Praja Rajyam Party	454	14	
7	Telangana - Adilabad	PENDUR MANOHAR	Gondvana Gantantra Party	336	15	
8	Telangana - Boath	BAPU RAO RATHOD	Telangana Rashtra Samithi	61125	1	6486
8	Telangana - Boath	BAPU RAO SOYAM	Indian National Congress	54639	2	6486
8	Telangana - Boath	ANIL JADHAV	Independent	28206	3	
8	Telangana - Boath	MADAVI RAJU	Bharatiya Janata Party	4840	4	
8	Telangana - Boath	GAJENDER AADE	Bahujan Samaj Party	2658	5	
8	Telangana - Boath	None of the Above	None of the Above	2275	6	
8	Telangana - Boath	KUMRAM KOTESHWAR	Nationalist Congress Party	1915	7	
8	Telangana - Boath	RAM CHOWHAN	Independent	1104	8	
9	Telangana - Nirmal	ALLOLA INDRAKARAN REDDY	Telangana Rashtra Samithi	79985	1	9271
9	Telangana - Nirmal	ALLETI MAHESHWAR REDDY	Indian National Congress	70714	2	9271
9	Telangana - Nirmal	AINDLA SWARNA REDDY	Bharatiya Janata Party	16900	3	
9	Telangana - Nirmal	SOUDANI BHUMANNA YADAV	Bahujan Samaj Party	1845	4	
9	Telangana - Nirmal	None of the Above	None of the Above	1367	5	
9	Telangana - Nirmal	VADLA KONDA ALIVENI	Bahujana Left Party	769	6	
9	Telangana - Nirmal	GUMIDYALA VENKATA RAMANA	Independent	745	7	
9	Telangana - Nirmal	MARRIPEDDA BALARAJU	Prem Janata Dal	390	8	
9	Telangana - Nirmal	MUKHRAM ALI MOHAMMAD	Aam Aadmi Party	369	9	
10	Telangana - Mudhole	GADDIGARI VITTAL REDDY	Telangana Rashtra Samithi	83933	1	43331
10	Telangana - Mudhole	PADAKANTI RAMADEVI	Bharatiya Janata Party	40602	2	43331
10	Telangana - Mudhole	RAMA RAO PATEL PAWAR	Indian National Congress	36580	3	
10	Telangana - Mudhole	BHOSLE NARAYAN RAO PATIL	Nationalist Congress Party	6011	4	
10	Telangana - Mudhole	ARMOOR NARSIMHA REDDY	Independent	5626	5	
10	Telangana - Mudhole	RATHOD SUREKHA	Bahujan Samaj Party	3659	6	
10	Telangana - Mudhole	None of the Above	None of the Above	2267	7	
10	Telangana - Mudhole	CHELIMALWAR MAHESH	Independent	1543	8	
10	Telangana - Mudhole	VADNAM GOVINDARAJU	Independent	1108	9	
10	Telangana - Mudhole	KAMBLE VITTAL	Independent	918	10	
10	Telangana - Mudhole	SHARATH SURYA VAMSHI	Independent	701	11	
10	Telangana - Mudhole	ODNALA GANGADHAR	Prem Janata Dal	682	12	
10	Telangana - Mudhole	PANDITRAO TAKBIDE	Shiv Sena	333	13	
11	Telangana - Armur	ASHANNAGARI JEEVAN REDDY	Telangana Rashtra Samithi	72125	1	28795
11	Telangana - Armur	AKULA LALITHA	Indian National Congress	43330	2	28795
11	Telangana - Armur	VINAY KUMAR REDDY PRODDUTURI	Bharatiya Janata Party	19599	3	
11	Telangana - Armur	KOMIREY SUDHAKAR	Bahujan Samaj Party	1724	4	
11	Telangana - Armur	None of the Above	None of the Above	1657	5	
11	Telangana - Armur	SUNKE SRINIVAS	Independent	728	6	
11	Telangana - Armur	MASTHA DAYANAND	Republican Party of India (A)	524	7	
11	Telangana - Armur	SINDUKAR CHARAN KUMAR	Ambedkar National Congress	388	8	
11	Telangana - Armur	GUNTI RAJA GANGARAM	Independent	322	9	
12	Telangana - Bodhan	SHAKIL AAMIR MOHAMMED	Telangana Rashtra Samithi	74895	1	8101
12	Telangana - Bodhan	SUDARSHAN REDDY PODDUTURI	Indian National Congress	66794	2	8101
12	Telangana - Bodhan	ALJAPUR SRINIVAS	Bharatiya Janata Party	8434	3	
12	Telangana - Bodhan	GOPI KISHAN	Shiv Sena	2425	4	
12	Telangana - Bodhan	None of the Above	None of the Above	1862	5	
12	Telangana - Bodhan	SINGADE PANDU	Bahujan Samaj Party	1365	6	
12	Telangana - Bodhan	MD.NAWAZ PASHA	Independent	796	7	
12	Telangana - Bodhan	BANJA VEERAPPA	Pyramid Party of India	677	8	
12	Telangana - Bodhan	MOHAMMED SHARJEEL PARVEZ	Independent	615	9	
12	Telangana - Bodhan	BANAVATH JEEVAN NAYAK	Bahujana Left Party	385	10	
12	Telangana - Bodhan	GADDAM VIKRAM REDDY	Independent	344	11	
12	Telangana - Bodhan	M.D.YOUSUF	Samajwadi Party	278	12	
13	Telangana - Jukkal	HANMANTH SHINDE	Telangana Rashtra Samithi	77584	1	35625
13	Telangana - Jukkal	GANGARAM SOUDAGAR	Indian National Congress	41959	2	35625
13	Telangana - Jukkal	T. ARUNA THARA	Bharatiya Janata Party	18840	3	
13	Telangana - Jukkal	KARROLLA MOHAN	Independent	7727	4	
13	Telangana - Jukkal	None of the Above	None of the Above	1976	5	
13	Telangana - Jukkal	LAXMAN	Bahujan Samaj Party	1764	6	
13	Telangana - Jukkal	BHARATH WAGHMARE	Bahujana Left Party	1102	7	
13	Telangana - Jukkal	G. SRINIVAS	India Praja Bandhu Party	570	8	
14	Telangana - Banswada	POCHARAM SRINIVAS REDDY (PARIGE)	Telangana Rashtra Samithi	77943	1	18485
14	Telangana - Banswada	KASULA BALARAJU	Indian National Congress	59458	2	18485
14	Telangana - Banswada	PRAKASH NAIDU	Bharatiya Janata Party	2998	3	
14	Telangana - Banswada	KONDANI ANJAIAH	Pyramid Party of India	2409	4	
14	Telangana - Banswada	None of the Above	None of the Above	1555	5	
14	Telangana - Banswada	DR.BHEEM RAO GAIKWAD	Bahujan Samaj Party	871	6	
14	Telangana - Banswada	M RAMESH	Independent	563	7	
15	Telangana - Yellareddy	JAJALA SURENDER	Indian National Congress	91510	1	35148
15	Telangana - Yellareddy	EANUGU RAVINDER REDDY	Telangana Rashtra Samithi	56362	2	35148
15	Telangana - Yellareddy	TALARI BALARAJU	Independent	9684	3	
15	Telangana - Yellareddy	BANALA LAXMA REDDY	Bharatiya Janata Party	6357	4	
15	Telangana - Yellareddy	None of the Above	None of the Above	2218	5	
15	Telangana - Yellareddy	FAZAL RAHMAN	Independent	947	6	
15	Telangana - Yellareddy	YELLANNA YADAV PEDDA GOLLA	Samajwadi Party	537	7	
15	Telangana - Yellareddy	VAADIKARI BALVANTH RAO	Nava Samaj Party	490	8	
15	Telangana - Yellareddy	KAPPA SATHYAM SIDHARTH RAJ	Bahujana Left Party	376	9	
16	Telangana - Kamareddy	GAMPA GOVARDHAN	Telangana Rashtra Samithi	68167	1	4557
16	Telangana - Kamareddy	MOHD. ALI SHABBIR	Indian National Congress	63610	2	4557
16	Telangana - Kamareddy	KATIPALLY VENKATA RAMANA REDDY	Bharatiya Janata Party	15439	3	
16	Telangana - Kamareddy	GOVARDAN M	Samajwadi Forward Bloc	10537	4	
16	Telangana - Kamareddy	None of the Above	None of the Above	1471	5	
16	Telangana - Kamareddy	KOTHAPALLI MALLAIAH	Bahujan Samaj Party	791	6	
16	Telangana - Kamareddy	PUTTA MALLIKARJUN	Bahujana Left Party	699	7	
16	Telangana - Kamareddy	ARROLA NAVEEN	Independent	601	8	
16	Telangana - Kamareddy	DUDUGU PANDURANGAM	Aam Aadmi Party	562	9	
16	Telangana - Kamareddy	K KISHAN	Independent	351	10	
17	Telangana - Nizamabad (Urban)	BIGALA GANESH	Telangana Rashtra Samithi	71896	1	25841
17	Telangana - Nizamabad (Urban)	TAHER BIN HAMDAN	Indian National Congress	46055	2	25841
17	Telangana - Nizamabad (Urban)	LAXMI NARAYANA YENDALA	Bharatiya Janata Party	24192	3	
17	Telangana - Nizamabad (Urban)	RATNAKAR NARALA	All India Forward Bloc	2827	4	
17	Telangana - Nizamabad (Urban)	RAMESH RASHAMALLU	Bahujan Samaj Party	1546	5	
17	Telangana - Nizamabad (Urban)	None of the Above	None of the Above	855	6	
17	Telangana - Nizamabad (Urban)	K.V.LAXMA REDDY	Independent	754	7	
17	Telangana - Nizamabad (Urban)	BALLA SRINIVAS	Independent	625	8	
17	Telangana - Nizamabad (Urban)	PRASHANTHI G.	Independent	512	9	
17	Telangana - Nizamabad (Urban)	MOHAMMED SIRAJUDDIN	Aam Aadmi Party	451	10	
17	Telangana - Nizamabad (Urban)	MOHAMMED KHAJA MOINUDDIN	Independent	304	11	
17	Telangana - Nizamabad (Urban)	PADAKANTI RAMU	Independent	198	12	
17	Telangana - Nizamabad (Urban)	ABDUL RAHEEM	Samajwadi Party	175	13	
17	Telangana - Nizamabad (Urban)	M. PRADEEP	Independent	146	14	
17	Telangana - Nizamabad (Urban)	H.M.ISMAIL MOHAMMED	Bahujana Left Party	135	15	
17	Telangana - Nizamabad (Urban)	PUPPALA RAVINDHAR	Independent	108	16	
17	Telangana - Nizamabad (Urban)	SYED MUJEEBUDDIN	Ambedkar National Congress	103	17	
17	Telangana - Nizamabad (Urban)	G SHANKAR	Independent	93	18	
17	Telangana - Nizamabad (Urban)	VOJJA RAMESH	Pyramid Party of India	90	19	
17	Telangana - Nizamabad (Urban)	MANCHIRALA RAGHUNATH	Telangana Prajala Party	80	20	
17	Telangana - Nizamabad (Urban)	SHIVA PRASAD MAHAJAN	Independent	77	21	
17	Telangana - Nizamabad (Urban)	SYED KHAISER	Independent	57	22	
18	Telangana - Nizamabad (Rural)	BAJI REDDY GOVERDHAN	Telangana Rashtra Samithi	87976	1	29646
18	Telangana - Nizamabad (Rural)	REKULAPALLY BHOOPATHI REDDY	Indian National Congress	58330	2	29646
18	Telangana - Nizamabad (Rural)	ANAND REDDY GADDAM	Bharatiya Janata Party	16467	3	
18	Telangana - Nizamabad (Rural)	None of the Above	None of the Above	2203	4	
18	Telangana - Nizamabad (Rural)	KASALA SRINIVAS	Pyramid Party of India	1652	5	
18	Telangana - Nizamabad (Rural)	GUGLOTH BALARAJU	All India Jaihind Party	1199	6	
18	Telangana - Nizamabad (Rural)	BAISA RAMADASU	Independent	1121	7	
18	Telangana - Nizamabad (Rural)	DHAMMAREDDY PRADEEP REDDY	Independent	1058	8	
18	Telangana - Nizamabad (Rural)	BB NAYAK	Independent	997	9	
18	Telangana - Nizamabad (Rural)	MALAVATH VITHAL	Nationalist Congress Party	991	10	
18	Telangana - Nizamabad (Rural)	NOORJAHAN	Bahujana Left Party	374	11	
18	Telangana - Nizamabad (Rural)	GANGADHAR MACHA	Independent	301	12	
18	Telangana - Nizamabad (Rural)	MALLE MANOJ	India Praja Bandhu Party	300	13	
19	Telangana - Balkonda	VEMULA PRASHANTH REDDY	Telangana Rashtra Samithi	73662	1	32408
19	Telangana - Balkonda	SUNIL KUMAR MUTHYALA	Bahujan Samaj Party	41254	2	32408
19	Telangana - Balkonda	ANIL KUMAR ERAVATRI	Indian National Congress	30433	3	
19	Telangana - Balkonda	RUYYADI RAJESHWAR	Bharatiya Janata Party	3097	4	
19	Telangana - Balkonda	None of the Above	None of the Above	1886	5	
19	Telangana - Balkonda	GUNTI BENARJI	Independent	1171	6	
19	Telangana - Balkonda	ABDUL NAYEEM	Independent	1026	7	
19	Telangana - Balkonda	YELIGETI MADHUKAR	Bahujana Left Party	859	8	
19	Telangana - Balkonda	BINGIWAR RAVI	Telangana Praja Samithi (Kishore, Rao and Kishan)	852	9	
19	Telangana - Balkonda	SUDDAPALLY SUDHAKAR	Independent	611	10	
20	Telangana - Koratla	KALVAKUNTLA VIDYASAGAR RAO	Telangana Rashtra Samithi	84605	1	31220
20	Telangana - Koratla	JUVVADI NARSINGA RAO	Indian National Congress	53385	2	31220
20	Telangana - Koratla	DR. J N VENKAT	Bharatiya Janata Party	16046	3	
20	Telangana - Koratla	MD. RASHEED KHAN	Samajwadi Party	3540	4	
20	Telangana - Koratla	None of the Above	None of the Above	2426	5	
20	Telangana - Koratla	PUPPALA LIMBADRI	Bahujan Samaj Party	939	6	
20	Telangana - Koratla	MADDENAPELLI RAMULU	Independent	892	7	
20	Telangana - Koratla	VEMULAA VIKRAM REDDY	Independent	601	8	
20	Telangana - Koratla	DAYYA RAGHU VEER	Bahujan Mukti Party	489	9	
20	Telangana - Koratla	RAJ PAL ERRA	Bahujana Rashtra Samithi	290	10	
20	Telangana - Koratla	JAGILAM RAMESH	Independent	259	11	
20	Telangana - Koratla	GANNARAPU BHUMAIAH	Independent	205	12	
20	Telangana - Koratla	AKULA HANMANDLU	Independent	189	13	
21	Telangana - Jagtial	M.SANJAY KUMAR	Telangana Rashtra Samithi	104247	1	61185
21	Telangana - Jagtial	THATIPARTHI JEEVAN REDDY	Indian National Congress	43062	2	61185
21	Telangana - Jagtial	RAVINDER REDDY MUDUGANTI	Bharatiya Janata Party	4817	3	
21	Telangana - Jagtial	None of the Above	None of the Above	1710	4	
21	Telangana - Jagtial	VADLAMANI SATHYANARAYANA MURTHY	Pyramid Party of India	1640	5	
21	Telangana - Jagtial	KAITHI SHANKAR	Bahujan Samaj Party	1276	6	
21	Telangana - Jagtial	KURMACHALAM UMA MAHESHWAR	All India Forward Bloc	760	7	
21	Telangana - Jagtial	SIRIKONDA RAVI SHANKAR	Independent	593	8	
21	Telangana - Jagtial	INDURI SULOCHANA	Bahujana Left Party	486	9	
21	Telangana - Jagtial	SABBU JAGAN	Independent	413	10	
21	Telangana - Jagtial	AKULA SRIKANTH KUMAR	Independent	364	11	
21	Telangana - Jagtial	VEMULA KARNAKAR REDDY	Independent	352	12	
22	Telangana - Dharmapuri	ESHWAR KOPPULA	Telangana Rashtra Samithi	70579	1	441
22	Telangana - Dharmapuri	ADLURI LAXMAN KUMAR	Indian National Congress	70138	2	441
22	Telangana - Dharmapuri	KUNTALA NARSAIAH	Independent	13114	3	
22	Telangana - Dharmapuri	KANNAM ANJAIAH	Bharatiya Janata Party	5272	4	
22	Telangana - Dharmapuri	None of the Above	None of the Above	2600	5	
22	Telangana - Dharmapuri	BURADAGUNTA SANGHA MITHRA	Independent	1259	6	
22	Telangana - Dharmapuri	THADAGONDA NAGARAJU	Bahujan Samaj Party	1063	7	
22	Telangana - Dharmapuri	SATHPADI PRANAY KUMAR	Jai Swaraj Party	535	8	
22	Telangana - Dharmapuri	MADDELA RAVINDAR	Bahujana Left Party	302	9	
22	Telangana - Dharmapuri	MOTHE NARESH	New India Party	300	10	
22	Telangana - Dharmapuri	SANDRUGU VIJAYA KUMAR	India Praja Bandhu Party	294	11	
22	Telangana - Dharmapuri	DUDA MAHIPAL	Naya Bharat Party	291	12	
23	Telangana - Ramagundam	KORUKANTI CHANDAR PATEL	All India Forward Bloc	61400	1	26419
23	Telangana - Ramagundam	SOMARAPU SATYANARAYANA	Telangana Rashtra Samithi	34981	2	26419
23	Telangana - Ramagundam	MAKKAN SINGH RAJ THAKUR	Indian National Congress	27181	3	
23	Telangana - Ramagundam	VENKATESH MUTHYALU	Samajwadi Forward Bloc	3531	4	
23	Telangana - Ramagundam	MERUGU SHANKAR	Bahujan Samaj Party	1797	5	
23	Telangana - Ramagundam	VANITHA BALMURI	Bharatiya Janata Party	1553	6	
23	Telangana - Ramagundam	None of the Above	None of the Above	1078	7	
23	Telangana - Ramagundam	LANKA ABHISHEK	Independent	826	8	
23	Telangana - Ramagundam	MARKA VENKATESHWARLU	Independent	622	9	
23	Telangana - Ramagundam	BURRA THIRUPATHI	Communist Party of India (Marxist)	543	10	
23	Telangana - Ramagundam	KAMANI SAROJA	Pyramid Party of India	499	11	
23	Telangana - Ramagundam	KAMMAGIRI KESHAIAH	Independent	465	12	
23	Telangana - Ramagundam	JANAGAMA VENKATA RAJAM	New India Party	454	13	
23	Telangana - Ramagundam	THOTA VENU	Telangana Prajala Party	367	14	
23	Telangana - Ramagundam	ERIKILLA RAJESH	Independent	299	15	
23	Telangana - Ramagundam	GAJELLI VENKATESHWARLU	Independent	294	16	
23	Telangana - Ramagundam	BARLA RAJESH	Independent	250	17	
24	Telangana - Manthani	DUDDILLA SRIDHAR BABU	Indian National Congress	89045	1	16230
24	Telangana - Manthani	PUTTA MADHUKAR	Telangana Rashtra Samithi	72815	2	16230
24	Telangana - Manthani	T.NAGARJUN	Samajwadi Forward Bloc	5457	3	
24	Telangana - Manthani	None of the Above	None of the Above	2083	4	
24	Telangana - Manthani	ETUKALA. MAHESH KUMAR	Bahujan Samaj Party	1876	5	
24	Telangana - Manthani	RENDLA SANATH KUMAR	Bharatiya Janata Party	1618	6	
24	Telangana - Manthani	CHALLA LAXMAN	Independent	1168	7	
24	Telangana - Manthani	BOMMA BAPU.	Independent	904	8	
24	Telangana - Manthani	MADE KUMAR SWAMY	Nationalist Congress Party	774	9	
24	Telangana - Manthani	POLAM. RAJENDER	Bahujana Left Party	552	10	
24	Telangana - Manthani	BOODIDHA THIRUPATHI	Telangana Praja Samithi (Kishore, Rao and Kishan)	354	11	
25	Telangana - Peddapalle	MANOHAR REDDY DASARI	Telangana Rashtra Samithi	82765	1	8466
25	Telangana - Peddapalle	CHINTHAKUNTA VIJAYA RAMANA RAO	Indian National Congress	74299	2	8466
25	Telangana - Peddapalle	GUJJULA RAMAKRISHNA REDDY	Bharatiya Janata Party	9375	3	
25	Telangana - Peddapalle	REDDY VENUGOPAL	Samajwadi Forward Bloc	8499	4	
25	Telangana - Peddapalle	PONNALA SATHISH	Telangana Karmika Raithu Rajyam Party	2085	5	
25	Telangana - Peddapalle	None of the Above	None of the Above	1853	6	
25	Telangana - Peddapalle	RAVADI KANTHA RAO	Independent	1600	7	
25	Telangana - Peddapalle	MANDALA KRISHNA REDDY	Independent	1038	8	
25	Telangana - Peddapalle	MAMIDIPELLI BAPAIAH	Bahujan Samaj Party	876	9	
25	Telangana - Peddapalle	DURGAM RAJKUMAR	Independent	870	10	
25	Telangana - Peddapalle	SHAIK ABDUL BARI	Independent	709	11	
25	Telangana - Peddapalle	BABAR MOHAMMED	Nationalist Congress Party	648	12	
25	Telangana - Peddapalle	NAMPELLI SWAMY	Independent	623	13	
25	Telangana - Peddapalle	RAJU BOMMANAVENI	All India Forward Bloc	406	14	
25	Telangana - Peddapalle	THIRUPATHI MARAM	Samajwadi Party	283	15	
25	Telangana - Peddapalle	NIMMALA ASHOK	India Praja Bandhu Party	277	16	
25	Telangana - Peddapalle	SAMMAIAH GUNTIPALLI	Bahujana Left Party	265	17	
25	Telangana - Peddapalle	AKULA SWAMY	Telangana Prajala Party	247	18	
26	Telangana - Karimnagar	GANGULA KAMALAKAR	Telangana Rashtra Samithi	80983	1	14974
26	Telangana - Karimnagar	BANDI SANJAY KUMAR	Bharatiya Janata Party	66009	2	14974
26	Telangana - Karimnagar	PONNAM PRABHAKAR	Indian National Congress	39500	3	
26	Telangana - Karimnagar	K. NAGESH	Independent	3009	4	
26	Telangana - Karimnagar	EDAVELLY RAMESH	Telangana Karmika Raithu Rajyam Party	1562	5	
26	Telangana - Karimnagar	DURVASA REDDY PAKALA	Independent	1058	6	
26	Telangana - Karimnagar	None of the Above	None of the Above	982	7	
26	Telangana - Karimnagar	NAGUNOORI YELLAIAH	Independent	951	8	
26	Telangana - Karimnagar	T. ARUNA JYOTHI	Pyramid Party of India	724	9	
26	Telangana - Karimnagar	ANAGANDULA VENKANNA	Bahujan Samaj Party	709	10	
26	Telangana - Karimnagar	PULIKOTA RAMESH	Independent	445	11	
26	Telangana - Karimnagar	CHEEKOTI RAMESH	Independent	430	12	
26	Telangana - Karimnagar	WASEEMUDDIN AHMED	Bahujana Left Party	333	13	
26	Telangana - Karimnagar	SOMIDI VENU PRASAD	Shiv Sena	283	14	
26	Telangana - Karimnagar	KOTA SHYAM KUMAR	Independent	259	15	
26	Telangana - Karimnagar	BANDI SRINIVAS	Independent	246	16	
